Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
25.9021 36.83218 -17.79 -26.545 0.0 0.0 1.259 0.502 0.001 1.393 0.0 0.262 047A_GPS
21.39669 40.85116 0.54 -3.695 0.0 0.0 1.216 0.148 0.001 -1.697 0.0 2.976 073A_GPS
14.0073 42.5515 -0.43 3.753 0.0 0.0 1.309 1.043 0.001 -0.223 0.0 1.008 ATRA_GPS
20.0722 42.3636 0.39 -1.0 0.0 0.0 1.137 1.51 0.001 -0.939 0.0 1.99 BACU_GPS
13.5816 42.33659 0.21 0.5 0.0 0.0 1.372 3.96 0.001 0.792 0.0 1.219 BAR5_GPS
5.18435 59.81515 -0.719 -0.281 0.0 0.0 1.769 1.252 0.001 1.153 0.0 1.063 BMLC_GPS
26.41434 40.1112 -19.11 -8.975 0.0 0.0 2.107 0.771 0.001 0.082 0.0 0.922 CANA_GPS
13.7201 42.3675 1.233 2.718 0.0 0.0 1.86 1.127 0.001 1.022 0.0 1.746 CDRA_GPS
12.9046 43.005 -0.855 2.026 0.0 0.0 1.005 0.708 0.001 0.401 0.0 0.505 CESI_GPS
17.97003 53.79485 0.88 -0.39 0.0 0.0 1.018 0.58 0.001 -0.78 0.0 0.678 CZER_GPS
8.4399 55.46 -0.507 -0.136 0.0 0.0 1.346 1.402 0.001 -0.434 0.0 2.459 ESBH_GPS
23.6522 60.76855 0.275 -0.94 0.0 0.0 1.069 0.394 0.001 5.048 0.0 1.461 FORF_GPS
25.52003 63.78304 0.372 -0.687 0.0 0.0 1.693 1.322 0.001 7.556 0.0 0.129 HAAJ_GPS
23.66599 68.41169 -0.356 0.187 0.0 0.0 1.172 0.966 0.001 6.004 0.0 0.149 HETT_GPS
19.7582 40.0889 -3.223 0.347 0.0 0.0 1.618 1.449 0.001 0.369 0.0 1.648 HIMA_GPS
12.69349 57.96768 -0.634 -0.678 0.0 0.0 1.108 0.41 0.001 3.21 0.0 1.651 HOA0_GPS
13.3156 42.3825 -1.058 1.447 0.0 0.0 0.996 1.244 0.001 -0.341 0.0 0.645 INGP_GPS
12.58308 44.04857 0.48 0.84 0.0 0.0 1.414 4.229 0.001 -0.543 0.0 0.712 ITR2_GPS
11.0185 59.988 -0.995 -0.395 0.0 0.0 1.069 1.389 0.001 4.857 0.0 2.37 JV01_GPS
22.38351 36.49327 -22.41 -27.84 0.0 0.0 1.386 0.438 0.001 0.736 0.0 0.576 KERY_GPS
24.13861 67.24602 -0.195 0.039 0.0 0.0 1.391 0.396 0.001 7.567 0.0 0.156 KOL2_GPS
29.01679 65.91346 0.41 -0.505 0.0 0.0 2.214 0.432 0.001 6.575 0.0 0.938 KUU2_GPS
-1.14013 60.15403 -0.337 0.997 0.0 0.0 1.099 0.354 0.001 -0.031 0.0 0.611 LWTG_GPS
14.0586 42.2728 0.21 3.175 0.0 0.0 1.358 0.021 0.001 -0.35 0.0 0.339 MANO_GPS
12.1114 42.913 -1.782 1.211 0.0 0.0 1.116 0.348 0.001 -0.348 0.0 0.689 MGAB_GPS
24.87777 35.05392 -17.195 -27.633 0.0 0.0 1.252 0.604 0.001 -1.672 0.0 1.712 MOIR_GPS
15.48874 40.7564 -0.573 2.499 0.0 0.0 1.079 0.902 0.001 0.466 0.0 0.286 MRLC_GPS
12.5247 43.2632 -1.088 1.166 0.0 0.0 1.235 0.074 0.001 0.425 0.0 0.651 MUR1_GPS
23.86971 41.33572 2.033 -3.201 0.0 0.0 1.892 0.692 0.001 -1.308 0.0 1.065 NVRK_GPS
16.48268 57.20932 -0.279 -0.715 0.0 0.0 1.137 0.395 0.001 2.339 0.0 0.539 OKC0_GPS
25.89255 65.08638 0.232 -0.497 0.0 0.0 1.003 0.479 0.001 8.256 0.0 2.305 OUL2_GPS
20.5852 38.619 -4.241 -8.525 0.0 0.0 0.994 1.331 0.001 -0.35 0.0 1.29 PONT_GPS
23.38698 41.06844 1.5 -5.373 0.0 0.0 1.33 0.44 0.001 -1.655 0.0 0.554 PROV_GPS
24.28546 64.49878 0.163 -0.59 0.0 0.0 1.0 2.652 0.001 8.797 0.0 0.496 PYHA_GPS
10.6369 44.7064 -0.076 1.857 0.0 0.0 0.998 0.161 0.001 -1.095 0.0 1.071 REGG_GPS
15.7595 40.0783 -0.35 1.1 0.0 0.0 1.07 0.082 0.001 -0.332 0.0 0.276 RVLO_GPS
