Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
74.93600 13.05700 40.397 29.391 0.00 0.00 5.5 2.57 0.050 0.00 0.00 3.00 MIJA_GPS
72.66800 39.49500 14.525 4.690 0.00 0.00 2.98 6.65 0.000 0.00 0.00 3.00 BRDB_GPS
70.20100 39.12000 15.594 -2.878 0.00 0.00 3.1 1.83 0.012 0.00 0.00 3.00 KMRA_GPS
69.66000 41.78000 14.235 -7.245 0.00 0.00 3.13 1.8 0.180 0.00 0.00 3.00 TRB4_GPS
69.27700 38.85300 11.472 -3.440 0.00 0.00 2.67 1.85 -0.004 0.00 0.00 3.00 OBGA_GPS
68.64000 41.32000 12.880 -7.137 0.00 0.00 3.01 1.73 0.160 0.00 0.00 3.00 BRK4_GPS
66.89000 30.00000 18.040 8.407 0.00 0.00 3.2 2.7 -0.022 0.00 0.00 3.00 LAKP_GPS
51.88500 47.09300 12.495 -7.263 0.00 0.00 3.768 1.622 0.000 0.00 0.00 3.00 ATYR_GPS
45.18300 21.94200 28.078 11.973 0.00 0.00 2.52 0.716 0.000 0.00 0.00 3.00 F077_GPS
43.89800 29.40900 20.670 10.409 0.00 0.00 2.538 0.721 0.000 0.00 0.00 3.00 F026_GPS
42.50000 11.55000 34.714 -0.160 0.00 0.00 4.6 2.2 0.168 0.00 0.00 3.00 HM00_GPS
42.47000 11.60000 36.306 0.033 0.00 0.00 3.0 1.1 -0.086 0.00 0.00 3.00 GK00_GPS
42.47000 11.58000 28.210 -0.067 0.00 0.00 4.0 1.4 0.267 0.00 0.00 3.00 FG00_GPS
42.45700 37.52800 11.150 7.280 0.00 0.00 2.72 1.24 0.042 0.00 0.00 3.00 SRNK_GPS
40.03800 39.43000 5.729 0.914 0.00 0.00 3.25 4.24 -0.053 0.00 0.00 3.00 BLYM_GPS
38.81700 23.49100 26.626 7.381 0.00 0.00 2.534 0.72 0.000 0.00 0.00 3.00 F005_GPS
37.56700 -3.38200 26.279 -2.966 0.00 0.00 3.06 2.39 0.030 0.00 0.00 3.00 HIMO_GPS
37.38800 36.29400 14.573 0.624 0.00 0.00 2.69 3.09 0.003 0.00 0.00 3.00 DD10_GPS
37.23100 36.44100 14.546 2.278 0.00 0.00 2.52 2.84 -0.051 0.00 0.00 3.00 CC02_GPS
37.21500 56.02100 12.365 -7.670 0.00 0.00 5.969 5.969 0.000 0.00 0.00 3.00 MDV0_GPS
36.56400 35.93100 14.732 3.394 0.00 0.00 3.21 3.11 0.063 0.00 0.00 3.00 BB05_GPS
36.49700 35.55100 15.089 4.826 0.00 0.00 3.48 3.61 -0.001 0.00 0.00 3.00 AA04_GPS
36.40300 35.54700 17.096 10.099 0.00 0.00 3.29 3.35 -0.048 0.00 0.00 3.00 AA05_GPS
36.37100 35.54900 18.137 1.689 0.00 0.00 3.59 3.29 0.055 0.00 0.00 3.00 AA06_GPS
36.23200 36.74100 9.633 3.743 0.00 0.00 3.94 4.2 0.095 0.00 0.00 3.00 PT30_GPS
35.99100 35.58700 15.561 4.890 0.00 0.00 2.72 2.78 0.011 0.00 0.00 3.00 AA11_GPS
35.78600 35.60200 12.320 1.636 0.00 0.00 2.83 2.82 0.033 0.00 0.00 3.00 AA13_GPS
35.78500 33.30800 18.519 1.979 0.00 0.00 5.353 2.615 0.000 0.00 0.00 3.00 HRMN_GPS
32.92000 -2.44000 25.584 -2.377 0.00 0.00 2.952 1.99 0.013 0.00 0.00 3.00 MZA1_GPS
24.73700 37.88600 2.115 -34.761 0.00 0.00 2.534 5.441 0.000 0.00 0.00 3.00 ANDR_GPS
24.06500 38.16600 3.288 -33.625 0.00 0.00 4.6 3.8 -0.040 0.00 0.00 3.00 AGMA_GPS
23.54100 37.75600 1.599 -38.682 0.00 0.00 3.2 3.0 -0.040 0.00 0.00 3.00 AFIA_GPS
23.20600 37.47500 -4.160 -34.917 0.00 0.00 3.0 2.9 0.100 0.00 0.00 3.00 DDYM_GPS
23.17200 37.29600 -1.084 -36.521 0.00 0.00 3.0 2.8 0.060 0.00 0.00 3.00 PHEL_GPS
22.90200 39.41200 10.284 -20.521 0.00 0.00 6.7 4.6 0.000 0.00 0.00 3.00 CG04_GPS
22.64400 37.75000 2.581 -32.176 0.00 0.00 3.0 2.9 0.130 0.00 0.00 3.00 MLDR_GPS
22.44500 38.91600 5.327 -22.651 0.00 0.00 3.4 2.9 0.000 0.00 0.00 3.00 CG14_GPS
22.18400 38.32200 6.196 -26.665 0.00 0.00 5.459 8.468 0.000 0.00 0.00 3.00 PSAR_GPS
20.19400 39.19400 19.128 -6.023 0.00 0.00 2.6 3.0 0.000 0.00 0.00 3.00 GAIO_GPS
16.16000 39.45300 19.843 -4.654 0.00 0.00 3.153 0.786 0.000 0.00 0.00 3.00 REG0_GPS
9.47500 42.77500 19.058 -7.427 0.00 0.00 3.482 1.046 0.000 0.00 0.00 3.00 BRDO_GPS
8.35200 4.95000 22.355 -3.523 0.00 0.00 4.905 0.483 0.000 0.00 0.00 3.00 CLBR_GPS
6.97900 4.80200 19.018 -7.352 0.00 0.00 4.429 3.512 0.000 0.00 0.00 3.00 RUST_GPS
5.91100 44.63300 18.713 -6.694 0.00 0.00 2.825 2.556 0.000 0.00 0.00 3.00 BURE_GPS
1.53000 48.42600 19.942 -8.659 0.00 0.00 2.753 2.547 0.000 0.00 0.00 3.00 CT14_GPS
-19.5500 63.99000 15.577 -4.615 0.00 0.00 3.5 2.31 0.000 0.00 0.00 3.00 MUND_GPS
-17.7790 28.60600 20.686 -6.006 0.00 0.00 3.258 1.077 0.000 0.00 0.00 3.00 MAZO_GPS
72.76400 39.91700 12.984 -5.074 0.00 0.00 2.45 2.65 -0.015 0.00 0.00 3.00 PAMA_GPS
40.33000 39.03900 -1.126 0.287 0.00 0.00 1.96 2.58 -0.101 0.00 0.00 3.00 USVT_GPS
36.47300 36.19800 15.222 1.987 0.00 0.00 2.44 2.54 0.005 0.00 0.00 3.00 DD02_GPS
31.10400 70.37500 7.490 -7.448 0.00 0.00 0.775 3.642 0.000 0.00 0.00 3.00 VARD_GPS
25.60400 45.65000 18.807 -7.448 0.00 0.00 2.031 3.34 0.000 0.00 0.00 3.00 TGB0_GPS
23.46900 37.46400 -3.878 -36.390 0.00 0.00 2.5 2.5 0.010 0.00 0.00 3.00 VRMS_GPS
22.68700 37.52500 0.966 -36.471 0.00 0.00 2.5 2.4 -0.080 0.00 0.00 3.00 KIVE_GPS
21.93900 40.06300 16.679 -14.899 0.00 0.00 2.4 2.6 0.000 0.00 0.00 3.00 LI29_GPS
21.89900 40.21000 18.029 -13.813 0.00 0.00 2.4 2.6 0.000 0.00 0.00 3.00 LI74_GPS
21.87800 39.83900 16.480 -14.018 0.00 0.00 2.4 2.5 0.000 0.00 0.00 3.00 DE30_GPS
21.80300 38.91200 12.099 -17.338 0.00 0.00 1.631 3.572 0.000 0.00 0.00 3.00 KARP_GPS
21.70200 40.30500 16.733 -11.978 0.00 0.00 2.4 2.7 0.000 0.00 0.00 3.00 SI19_GPS
21.61600 40.11300 18.525 -13.207 0.00 0.00 2.5 2.7 0.000 0.00 0.00 3.00 KN43_GPS
20.37200 38.22100 13.557 -10.495 0.00 0.00 2.5 2.6 0.000 0.00 0.00 3.00 K2AM_GPS
19.98600 39.87500 16.908 -8.147 0.00 0.00 1.236 4.147 0.000 0.00 0.00 3.00 SAR9_GPS
11.73600 -70.76600 2.616 -16.521 0.00 0.00 1.272 3.17 -0.201 0.00 0.00 3.00 MAIT_GPS
11.37800 44.11800 18.455 -4.925 0.00 0.00 1.804 2.452 0.000 0.00 0.00 3.00 FIR1_GPS
10.03000 44.38600 18.608 -7.194 0.00 0.00 2.33 2.68 0.000 0.00 0.00 3.00 BDGN_GPS
