Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
43.32170 40.99244 0.90 7.13 0.00 0.00 1.16 1.59 -0.040 0.00 0.00 3.00 CKSU_GPS
30.61216 40.64460 -17.49 -0.84 0.00 0.00 1.15 1.37 -0.004 0.00 0.00 3.00 KTO2_GPS
29.80409 40.70504 -10.78 -1.34 0.00 0.00 2.13 2.28 -0.123 0.00 0.00 3.00 GLC2_GPS
29.13984 40.12196 -22.23 -5.64 0.00 0.00 1.19 1.4 -0.075 0.00 0.00 3.00 ULD2_GPS
28.88591 37.80418 -23.48 -14.52 0.00 0.00 1.47 1.52 -0.042 0.00 0.00 3.00 BAB2_GPS
27.46139 37.79027 -18.98 -18.16 0.00 0.00 1.48 1.43 0.036 0.00 0.00 3.00 SOK2_GPS
27.12689 38.49297 -22.84 -16.12 0.00 0.00 1.19 1.3 -0.086 0.00 0.00 3.00 YAM2_GPS
26.59961 38.44057 -19.32 -18.82 0.00 0.00 1.19 1.28 0.083 0.00 0.00 3.00 BLK2_GPS
26.49654 38.20466 -17.95 -23.21 0.00 0.00 1.33 1.39 0.109 0.00 0.00 3.00 ZEYT_GUR
29.27812 40.66190 -15.25 2.89 0.00 0.00 1.14 1.63 0.242 0.00 0.00 3.00 YLVB_GPS
