Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
100.91400 24.28400 2.20 -6.60 0.00 0.00 2.4 1.9 -0.108 0.00 0.00 3.000 Y315_GPS
81.92600 32.04700 2.90 18.40 0.00 0.00 2.5 2.3 0.000 0.00 0.00 3.000 XGBA_GPS
107.09500 10.38600 9.00 2.20 0.00 0.00 2.3 0.5 0.000 0.00 0.00 3.000 NT03_GPS
103.81500 13.40900 7.20 0.70 0.00 0.00 3.1 2.4 0.000 0.00 0.00 3.000 SIEM_GPS
86.02000 28.29000 10.10 25.60 0.00 0.00 3.6 1.9 0.000 0.00 0.00 3.000 WT11_GPS
86.02000 28.30000 12.50 23.00 0.00 0.00 2.4 1.4 0.000 0.00 0.00 3.000 WT16_GPS
70.20100 39.12000 0.50 3.60 0.00 0.00 3.1 1.8 0.012 0.00 0.00 3.000 KMRA_GPS
69.27700 38.85300 -3.80 3.10 0.00 0.00 2.7 1.9 -0.004 0.00 0.00 3.000 OBGA_GPS
94.72800 29.68400 17.00 6.00 0.00 0.00 3.5 1.2 0.000 0.00 0.00 3.000 BAYI_GPS
78.65500 33.57600 -0.70 15.70 0.00 0.00 2.7 1.1 0.000 0.00 0.00 3.000 CHUS_GPS
78.41400 33.99900 -2.00 17.50 0.00 0.00 2.7 1.0 0.000 0.00 0.00 3.000 LKNG_GPS
78.70400 33.19100 -4.20 16.90 0.00 0.00 2.6 1.0 0.000 0.00 0.00 3.000 MUTH_GPS
93.78300 31.88000 22.80 5.70 0.00 0.00 3.3 1.1 0.000 0.00 0.00 3.000 SOSH_GPS
92.48400 26.15600 9.40 33.50 0.00 0.00 2.3 2.1 0.000 0.00 0.00 3.000 AMSO_GPS
92.65000 26.16300 16.00 34.50 0.00 0.00 2.7 2.3 0.000 0.00 0.00 3.000 KAMP_GPS
92.82500 25.71700 14.70 34.30 0.00 0.00 2.5 1.9 0.000 0.00 0.00 3.000 PANI_GPS
