Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
23.541 37.756 -18.596 -31.04 0.0 0.0 6.4 6.0 0.0 0.0 0.0 3.0 AFIA_GPS
24.906 37.756 -23.207 -28.193 0.0 0.0 5.0 4.2 0.0 0.0 0.0 3.0 AGFA_GPS
24.065 38.166 -16.718 -26.028 0.0 0.0 9.2 7.6 -0.01 0.0 0.0 3.0 AGMA_GPS
22.142 38.397 -14.416 -20.187 0.0 0.0 6.6 5.2 0.03 0.0 0.0 3.0 CG30_GPS
22.285 38.348 -12.716 -13.987 0.0 0.0 18.2 13.2 -0.13 0.0 0.0 3.0 CG31_GPS
24.585 38.805 -7.24 -23.305 0.0 0.0 6.4 4.8 0.0 0.0 0.0 3.0 CG40_GPS
23.206 37.475 -24.484 -27.252 0.0 0.0 6.0 5.8 0.01 0.0 0.0 3.0 DDYM_GPS
21.889 38.257 -9.605 -25.299 0.0 0.0 8.4 7.6 0.0 0.0 0.0 3.0 K000_GPS
22.687 37.525 -19.384 -28.775 0.0 0.0 5.0 4.8 0.0 0.0 0.0 3.0 KIV1_GPS
23.996 37.955 -10.207 -28.228 0.0 0.0 6.6 6.4 0.01 0.0 0.0 3.0 LTSA_GPS
22.644 37.75 -17.694 -24.475 0.0 0.0 6.0 5.8 0.01 0.0 0.0 3.0 MLDR_GPS
23.172 37.296 -21.484 -28.852 0.0 0.0 6.0 5.6 0.0 0.0 0.0 3.0 PHEL_GPS
23.469 37.464 -24.185 -28.751 0.0 0.0 5.0 5.0 0.0 0.0 0.0 3.0 VRMS_GPS
20.732 38.364 -8.803 -10.134 0.0 0.0 4.6 5.6 0.0 0.0 0.0 3.0 SARA_GPS
