Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
33.763 41.979 -15.93 9.41 0.0 0.0 1.95 1.09 0.0 0.0 0.0 3.0 INEB_GPS
33.527 37.715 -16.09 5.66 0.0 0.0 2.18 0.85 0.0 0.0 0.0 3.0 KAPN_GPS
43.763 38.99 -0.52 10.03 0.0 0.0 1.36 3.4 0.0 0.0 0.0 3.0 MURA_GPS
41.502 38.793 -7.73 15.12 0.0 0.0 1.69 0.6 0.0 0.0 0.0 3.0 MUUS_GPS
42.29 38.529 -3.52 15.62 0.0 0.0 1.32 0.33 0.0 0.0 0.0 3.0 TVAN_GPS
34.256 36.566 -8.39 4.5 0.0 0.0 1.39 0.19 0.0 0.0 0.0 3.0 MERS_GPS
35.344 37.004 -11.36 -1.38 0.0 0.0 0.89 1.31 0.0 0.0 0.0 3.0 ADAN_GPS
42.531 39.143 3.37 6.89 0.0 0.0 0.86 1.63 0.0 0.0 0.0 3.0 MALZ_GPS
44.574 37.305 -5.15 16.06 0.0 0.0 1.23 1.56 0.0 0.0 0.0 3.0 SEMD_GPS
29.601 41.169 0.3 -0.55 0.0 0.0 0.2 1.27 0.0 0.0 0.0 3.0 SLEE_GPS
