Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
23.30110 35.86700 7.91 -12.03 0.00 0.00 0.98 0.65 0.000 1.69 0.00 2.99 ANKY_GPS
19.33140 51.19530 20.22 14.52 0.00 0.00 1.17 1.23 0.000 -1.82 0.00 2.83 BELC_GPS
18.40890 43.85700 22.01 15.33 0.00 0.00 0.98 0.99 0.000 -5.70 0.00 4.13 BH02_GPS
23.35790 42.66450 22.79 9.98 0.00 0.00 1.0 1.02 0.000 0.58 0.00 3.52 BM51_GPS
-5.67130 54.66570 14.47 16.34 0.00 0.00 0.93 0.93 0.000 2.06 0.00 1.82 BNGR_GPS
10.71840 54.21700 18.26 16.24 0.00 0.00 1.21 0.65 0.000 -0.33 0.00 1.97 BUNG_GPS
14.90480 41.65420 44.60 11.08 0.00 0.00 1.09 0.48 0.000 3.41 0.00 1.12 CIGN_GPS
7.81910 53.70610 17.76 17.69 0.00 0.00 1.11 0.94 0.000 0.73 0.00 4.17 CRLN_GPS
18.21720 45.88360 22.20 15.18 0.00 0.00 1.14 1.01 0.000 1.34 0.00 2.55 CSA1_GPS
7.60540 48.64180 18.81 18.20 0.00 0.00 1.0 0.69 0.000 1.38 0.00 2.49 CTC2_GPS
11.29060 51.47380 17.70 16.14 0.00 0.00 0.99 0.76 0.000 0.48 0.00 3.36 D084_GPS
10.27910 48.45290 20.20 16.02 0.00 0.00 1.21 1.0 0.000 1.30 0.00 3.54 D274_GPS
10.14210 53.69360 18.68 16.17 0.00 0.00 1.09 1.33 0.000 -10.59 0.00 2.91 D835_GPS
-4.42950 57.59520 13.10 17.80 0.00 0.00 1.16 1.26 0.000 -0.14 0.00 2.84 DING_GPS
20.57460 38.68380 14.61 7.59 0.00 0.00 1.27 1.09 0.000 -3.68 0.00 3.68 DRA1_GPS
22.07550 38.25460 10.72 -7.39 0.00 0.00 0.92 1.06 0.000 -1.55 0.00 2.52 EGIO_GPS
3.27500 51.99790 17.83 16.62 0.00 0.00 1.05 1.31 0.000 -0.21 0.00 1.19 EPL1_GPS
16.69120 47.72340 20.92 15.45 0.00 0.00 1.03 0.96 0.000 -0.21 0.00 2.99 FERT_GPS
13.69940 41.28110 21.12 16.25 0.00 0.00 1.03 0.71 0.000 -0.79 0.00 1.41 FORM_GPS
26.75620 57.17180 22.00 12.47 0.00 0.00 1.11 0.91 0.000 -0.73 0.00 3.43 GULB_GPS
-1.03700 43.03350 18.03 17.82 0.00 0.00 1.14 1.28 0.000 1.34 0.00 3.18 IRAF_GPS
-5.93780 36.63960 17.81 17.23 0.00 0.00 1.1 0.94 0.000 -4.51 0.00 3.66 JER1_GPS
21.63690 39.68610 21.72 7.36 0.00 0.00 1.06 1.14 0.000 3.13 0.00 3.60 KALA_GPS
-5.81450 36.27170 15.94 15.90 0.00 0.00 1.06 0.72 0.000 -3.25 0.00 3.03 LOMA_GPS
25.26720 54.69340 19.64 12.03 0.00 0.00 1.23 0.81 0.000 -3.92 0.00 3.28 LT02_GPS
-8.26650 52.26390 21.38 22.38 0.00 0.00 1.11 1.08 0.000 -3.18 0.00 2.41 MCHT_GPS
25.40130 36.40850 6.92 -16.56 0.00 0.00 1.1 1.2 0.000 -0.95 0.00 2.52 MKMN_GPS
25.42210 36.45550 7.38 -14.14 0.00 0.00 1.25 1.26 0.000 12.40 0.00 3.25 MOZI_GPS
12.30340 46.09200 21.60 15.64 0.00 0.00 0.97 0.64 0.000 -3.46 0.00 2.64 MT11_GPS
18.11100 43.25550 15.16 18.54 0.00 0.00 1.44 0.91 0.000 2.83 0.00 2.33 NEVE_GPS
8.84440 54.79290 17.43 16.42 0.00 0.00 1.12 0.66 0.000 -0.55 0.00 2.75 NIE1_GPS
9.22950 39.71670 20.32 16.44 0.00 0.00 1.08 0.89 0.000 -6.33 0.00 3.75 NURR_GPS
3.08980 45.71290 16.82 17.00 0.00 0.00 1.11 0.36 0.000 -1.84 0.00 1.21 OPME_GPS
22.48950 36.42130 3.64 -10.82 0.00 0.00 1.5 0.97 0.000 2.61 0.00 3.60 PTKG_GPS
27.03850 45.39060 23.69 13.21 0.00 0.00 1.12 0.34 0.000 0.98 0.00 1.55 RMSR_GPS
21.89230 38.30810 12.58 -6.15 0.00 0.00 1.03 0.98 0.000 5.05 0.00 2.95 ROD3_GPS
2.16740 48.91000 12.51 16.74 0.00 0.00 1.14 0.47 0.000 -1.58 0.00 1.43 SBGS_GPS
9.54870 54.52710 17.33 15.76 0.00 0.00 1.04 0.42 0.000 -0.56 0.00 1.89 SCHL_GPS
14.50790 46.07670 18.57 8.92 0.00 0.00 1.21 1.19 0.000 -0.27 0.00 3.06 SI02_GPS
16.07490 51.88490 20.22 15.23 0.00 0.00 0.93 0.78 0.000 -2.18 0.00 3.61 SLAW_GPS
21.18190 50.56280 20.60 13.93 0.00 0.00 1.08 1.26 0.000 2.28 0.00 3.39 STSZ_GPS
6.84120 53.49350 14.88 15.75 0.00 0.00 1.32 0.61 0.000 0.94 0.00 1.22 TGEH_GPS
