Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
42.45700 37.52800 -6.45 15.11 0.00 0.00 2.72 1.24 0.042 0.00 0.00 3.00 SRNK_GPS
44.14500 39.55600 -0.70 7.11 0.00 0.00 2.12 1.29 -0.107 0.00 0.00 3.00 DBYZ_GPS
44.82600 41.37700 8.75 5.29 0.00 0.00 2.69 1.7 0.057 0.00 0.00 3.00 SHUL_GPS
57.11900 30.27700 1.25 16.31 0.00 0.00 2.28 1.36 0.034 0.00 0.00 3.00 KERM_GPS
351.98200 31.66500 -4.66 1.91 0.00 0.00 2.36 1.51 0.002 0.00 0.00 3.00 MARO_GPS
26.88500 39.01000 -21.06 -13.52 0.00 0.00 1.78 1.75 -0.019 0.00 0.00 3.00 ESEN_GPS
29.88900 40.06600 -20.72 -6.54 0.00 0.00 1.95 1.8 -0.016 0.00 0.00 3.00 KPKL_GPS
36.18000 36.54000 -9.89 12.17 0.00 0.00 1.73 1.75 -0.033 0.00 0.00 3.00 ISKE_GPS
36.37800 26.45800 3.24 14.09 0.00 0.00 1.77 1.77 -0.002 0.00 0.00 3.00 ALWJ_GPS
39.63100 21.36900 7.59 15.54 0.00 0.00 1.79 1.78 -0.001 0.00 0.00 3.00 JEDD_GPS
