Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
2.1368 43.9342 18.372 15.648 0.0 0.0 0.888 0.456 0.001 0.231 0.0 1.306 ALBX_GPS
4.1692 44.6682 19.962 16.411 0.0 0.0 0.729 0.822 0.001 -1.868 0.0 2.715 BARN_GPS
359.912 47.5365 18.096 16.188 0.0 0.0 0.71 0.207 0.001 -1.631 0.0 0.964 BAUG_GPS
45.1928 -12.9109 118.579 47.663 0.0 0.0 1.722 1.165 0.001 -71.198 0.0 3.136 BDRL_GPS
13.0203 42.7181 -13.454 12.766 0.0 0.0 1.502 0.795 0.001 -10.929 0.0 1.706 CSCA_GPS
1.6692 48.5722 16.472 16.45 0.0 0.0 0.689 0.699 0.001 0.323 0.0 1.358 CT13_GPS
1.3509 49.0933 19.155 17.738 0.0 0.0 0.713 0.385 0.001 -1.078 0.0 1.264 CT20_GPS
1.351 49.2989 18.051 18.659 0.0 0.0 0.76 0.688 0.001 0.658 0.0 1.275 CT22_GPS
1.5366 49.1478 16.742 17.507 0.0 0.0 1.028 1.071 0.001 1.944 0.0 1.784 CT26_GPS
2.1359 49.1008 17.452 18.356 0.0 0.0 0.747 0.586 0.001 -1.881 0.0 1.621 CT36_GPS
1.2225 49.0713 17.961 15.873 0.0 0.0 0.689 0.611 0.001 0.222 0.0 1.094 CT38_GPS
1.2757 49.5572 17.033 16.272 0.0 0.0 1.191 0.771 0.001 0.562 0.0 1.191 CT3D_GPS
0.7049 49.7592 18.218 17.272 0.0 0.0 0.89 1.452 0.001 0.775 0.0 1.483 CT3G_GPS
2.8229 48.6448 19.529 15.558 0.0 0.0 0.754 0.831 0.001 0.537 0.0 1.328 CT53_GPS
40.3684 12.3373 -60.765 3.128 0.0 0.0 1.144 0.755 0.001 48.1 0.0 1.482 DA25_GPS
40.2349 12.2019 -37.81 -4.016 0.0 0.0 0.813 0.57 0.001 15.221 0.0 1.361 DA45_GPS
40.3174 12.0681 -15.064 -8.184 0.0 0.0 0.918 0.666 0.001 16.554 0.0 1.241 DAFT_GPS
41.0092 11.7786 38.793 44.956 0.0 0.0 0.801 0.92 0.001 -12.71 0.0 2.153 DASM_GPS
0.174 49.4768 18.006 16.695 0.0 0.0 0.737 0.544 0.001 -3.166 0.0 1.369 FRAN_GPS
