Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
86.23 27.635 8.3 28.94 0.0 0.0 3.7 1.9 0.001 0.0 0.0 3.0 w109_GPS
86.02 28.29 10.07 25.59 0.0 0.0 3.6 1.9 0.001 0.0 0.0 3.0 w114_GPS
90.131 38.031 4.22 10.75 0.0 0.0 3.8 4.1 0.001 0.0 0.0 3.0 w191_GPS
77.522 34.823 0.01 20.72 0.0 0.0 4.6 1.9 0.001 0.0 0.0 3.0 w250_GPS
78.3 34.01 -8.87 19.36 0.0 0.0 3.8 1.4 0.001 0.0 0.0 3.0 w252_GPS
87.77 28.54 16.44 28.78 0.0 0.0 4.01 2.28 0.001 0.0 0.0 3.0 w776_GPS
88.24 29.43 11.84 29.45 0.0 0.0 3.82 1.63 0.001 0.0 0.0 3.0 w777_GPS
92.94 34.83 20.62 6.26 0.0 0.0 3.84 1.97 0.001 0.0 0.0 3.0 w797_GPS
95.37 33.83 23.78 5.82 0.0 0.0 3.91 2.43 0.001 0.0 0.0 3.0 w809_GPS
79.559 30.531 2.76 28.1 0.0 0.0 4.18 2.36 0.001 0.0 0.0 3.0 b045_GPS
80.194 30.359 -3.76 21.74 0.0 0.0 17.57 7.69 0.001 0.0 0.0 3.0 b048_GPS
79.62 29.638 9.53 31.19 0.0 0.0 4.11 3.04 0.001 0.0 0.0 3.0 b052_GPS
87.155 28.63 9.08 20.72 0.0 0.0 4.15 2.1 0.001 0.0 0.0 3.0 b055_GPS
86.827 28.194 8.99 21.33 0.0 0.0 5.41 2.51 0.001 0.0 0.0 3.0 b059_GPS
86.929 27.973 12.12 27.47 0.0 0.0 3.73 3.55 0.001 0.0 0.0 3.0 b062_GPS
88.503 27.089 9.12 31.11 0.0 0.0 8.47 4.18 0.001 0.0 0.0 3.0 b072_GPS
91.85 25.531 13.73 30.64 0.0 0.0 7.6 3.8 0.001 0.0 0.0 3.0 b074_GPS
93.09 35.24 27.7 10.77 0.0 0.0 3.6 2.5 0.001 0.0 0.0 3.0 b130_GPS
99.17 23.62 -0.26 -3.98 0.0 0.0 4.1 2.24 0.001 0.0 0.0 3.0 b561_GPS
93.913 35.52 13.3 4.47 0.0 0.0 3.7 2.7 0.001 0.0 0.0 3.0 b774_GPS
90.959 29.278 19.28 18.04 0.0 0.0 3.6 3.5 0.001 0.0 0.0 3.0 b777_GPS
85.741 29.591 10.11 20.9 0.0 0.0 3.7 3.4 0.001 0.0 0.0 3.0 b781_GPS
76.027 38.341 1.38 19.0 0.0 0.0 3.83 3.52 0.001 0.0 0.0 3.0 b882_GPS
80.06 43.2 3.09 9.01 0.0 0.0 5.94 6.71 0.001 0.0 0.0 3.0 b890_GPS
103.97 28.155 5.48 -4.28 0.0 0.0 5.1 3.55 0.001 0.0 0.0 3.0 n501_GPS
89.507 22.924 13.0 35.0 0.0 0.0 4.0 3.0 0.001 0.0 0.0 3.0 n557_GPS
103.029 21.403 16.0 -3.0 0.0 0.0 18.0 2.0 0.001 0.0 0.0 3.0 n569_GPS
89.222 25.764 12.0 38.0 0.0 0.0 4.0 4.0 0.001 0.0 0.0 3.0 n571_GPS
90.65 27.08 10.91 32.75 0.0 0.0 3.6 3.9 0.001 0.0 0.0 3.0 n847_GPS
72.668 39.495 -0.29 11.06 0.0 0.0 2.98 6.65 0.001 0.0 0.0 3.0 w217_GPS
80.34 34.44 -0.94 18.43 0.0 0.0 1.28 3.75 0.001 0.0 0.0 3.0 w751_GPS
83.56 30.77 6.49 22.64 0.0 0.0 2.33 3.13 0.001 0.0 0.0 3.0 w759_GPS
85.71 35.47 3.68 19.88 0.0 0.0 1.05 3.24 0.001 0.0 0.0 3.0 w774_GPS
89.31 27.93 13.13 30.36 0.0 0.0 3.09 3.13 0.001 0.0 0.0 3.0 w781_GPS
78.973 32.779 -0.3 28.68 0.0 0.0 3.44 3.31 0.001 0.0 0.0 3.0 w984_GPS
89.97 38.39 7.95 10.07 0.0 0.0 3.1 3.3 0.001 0.0 0.0 3.0 b567_GPS
90.91 38.28 6.74 7.37 0.0 0.0 3.5 3.5 0.001 0.0 0.0 3.0 b568_GPS
90.42 38.38 7.04 9.27 0.0 0.0 3.3 3.5 0.001 0.0 0.0 3.0 b718_GPS
89.93 38.41 4.55 8.27 0.0 0.0 3.0 3.3 0.001 0.0 0.0 3.0 b733_GPS
89.93 38.4 5.65 7.07 0.0 0.0 3.2 3.5 0.001 0.0 0.0 3.0 b734_GPS
90.08 38.39 6.04 8.85 0.0 0.0 3.0 3.2 0.001 0.0 0.0 3.0 b738_GPS
85.139 31.019 7.03 19.21 0.0 0.0 3.5 3.4 0.001 0.0 0.0 3.0 b783_GPS
91.906 24.397 11.0 38.0 0.0 0.0 3.0 9.0 0.001 0.0 0.0 3.0 n565_GPS
94.108 28.257 18.63 16.83 0.0 0.0 3.2 3.5 0.001 0.0 0.0 3.0 n818_GPS
94.047 28.325 21.43 16.23 0.0 0.0 2.7 3.3 0.001 0.0 0.0 3.0 n819_GPS
96.469 28.059 12.39 20.43 0.0 0.0 3.0 3.6 0.001 0.0 0.0 3.0 n820_GPS
90.38 26.437 14.22 37.15 0.0 0.0 2.4 3.1 0.001 0.0 0.0 3.0 n824_GPS
90.298 26.596 13.02 39.05 0.0 0.0 3.3 3.7 0.001 0.0 0.0 3.0 n825_GPS
96.292 27.899 16.8 14.93 0.0 0.0 2.6 3.2 0.001 0.0 0.0 3.0 n827_GPS
95.909 28.233 14.2 16.43 0.0 0.0 2.9 3.4 0.001 0.0 0.0 3.0 n834_GPS
95.845 28.147 14.7 20.73 0.0 0.0 2.3 3.1 0.001 0.0 0.0 3.0 n838_GPS
91.54 27.0 11.49 25.74 0.0 0.0 3.2 4.0 0.001 0.0 0.0 3.0 n845_GPS
91.53 27.11 11.79 25.24 0.0 0.0 2.8 4.2 0.001 0.0 0.0 3.0 n848_GPS
