Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
86.38 37.413 2.8 14.1 0.0 0.0 2.2 2.3 0.052 0.0 0.0 3.0 AT01_GPS
86.333 37.213 6.3 13.7 0.0 0.0 2.2 2.4 0.081 0.0 0.0 3.0 AT3X_GPS
83.274 32.417 6.1 18.7 0.0 0.0 2.2 1.4 0.575 0.0 0.0 3.0 BS06_GPS
98.315 34.94 18.2 3.2 0.0 0.0 2.1 1.7 -0.057 0.0 0.0 3.0 DT01_GPS
80.078 32.53 3.4 16.0 0.0 0.0 2.1 1.7 0.149 0.0 0.0 3.0 Y036_GPS
100.914 24.284 2.2 -6.6 0.0 0.0 2.4 1.9 -0.108 0.0 0.0 3.0 Y315_GPS
81.926 32.047 2.9 18.4 0.0 0.0 2.5 2.3 0.0 0.0 0.0 3.0 XGBA_GPS
107.095 10.386 9.0 2.2 0.0 0.0 2.3 0.5 0.0 0.0 0.0 3.0 NT03_GPS
103.815 13.409 7.2 0.7 0.0 0.0 3.1 2.4 0.0 0.0 0.0 3.0 SIEM_GPS
92.439 28.432 16.2 15.6 0.0 0.0 2.1 1.9 0.002 0.0 0.0 3.0 LOZ1_GPS
86.02 28.29 10.1 25.6 0.0 0.0 3.6 1.9 0.0 0.0 0.0 3.0 WT11_GPS
86.02 28.3 12.5 23.0 0.0 0.0 2.4 1.4 0.0 0.0 0.0 3.0 WT16_GPS
70.201 39.12 0.5 3.6 0.0 0.0 3.1 1.8 0.012 0.0 0.0 3.0 KMRA_GPS
69.277 38.853 -3.8 3.1 0.0 0.0 2.7 1.9 -0.004 0.0 0.0 3.0 OBGA_GPS
94.728 29.684 17.0 6.0 0.0 0.0 3.5 1.2 0.0 0.0 0.0 3.0 BAYI_GPS
78.655 33.576 -0.7 15.7 0.0 0.0 2.7 1.1 0.0 0.0 0.0 3.0 CHUS_GPS
78.414 33.999 -2.0 17.5 0.0 0.0 2.7 1.0 0.0 0.0 0.0 3.0 LKNG_GPS
78.704 33.191 -4.2 16.9 0.0 0.0 2.6 1.0 0.0 0.0 0.0 3.0 MUTH_GPS
77.567 34.727 -3.1 19.8 0.0 0.0 2.1 0.9 0.0 0.0 0.0 3.0 PNMK_GPS
93.783 31.88 22.8 5.7 0.0 0.0 3.3 1.1 0.0 0.0 0.0 3.0 SOSH_GPS
78.178 34.031 -2.5 18.3 0.0 0.0 2.2 0.8 0.0 0.0 0.0 3.0 TNGS_GPS
77.619 34.568 2.9 19.8 0.0 0.0 2.2 0.8 0.0 0.0 0.0 3.0 TRTH_GPS
92.484 26.156 9.4 33.5 0.0 0.0 2.3 2.1 0.0 0.0 0.0 3.0 AMSO_GPS
92.65 26.163 16.0 34.5 0.0 0.0 2.7 2.3 0.0 0.0 0.0 3.0 KAMP_GPS
92.825 25.717 14.7 34.3 0.0 0.0 2.5 1.9 0.0 0.0 0.0 3.0 PANI_GPS
92.629 26.073 16.7 33.5 0.0 0.0 2.3 1.9 0.0 0.0 0.0 3.0 RAJA_GP1
92.725 25.526 14.7 30.8 0.0 0.0 2.5 1.7 0.0 0.0 0.0 3.0 UMRA_GPS
96.081 21.636 1.9 12.9 0.0 0.0 2.1 2.0 -0.035 0.0 0.0 3.0 NYAN_GPS
92.59 24.89 14.0 36.9 0.0 0.0 3.3 1.7 0.0 0.0 0.0 3.0 SILC_GPS
77.587 11.157 14.3 36.0 0.0 0.0 2.6 1.5 -0.05 0.0 0.0 3.0 CHEN_GPS
78.515 12.952 12.0 35.3 0.0 0.0 2.5 1.3 -0.03 0.0 0.0 3.0 KRIS_GPS
80.176 12.927 13.1 34.8 0.0 0.0 3.0 1.6 -0.03 0.0 0.0 3.0 NANM_GPS
76.97 13.025 12.7 34.7 0.0 0.0 2.8 1.3 -0.02 0.0 0.0 3.0 RANG_GP1
86.929 27.973 12.2 27.5 0.0 0.0 3.7 3.5 0.02 0.0 0.0 3.0 SCOL_GPS
78.676 30.997 0.2 22.8 0.0 0.0 2.4 1.5 -0.06 0.0 0.0 3.0 SUKI_GPS
135.818 44.346 -0.9 0.1 0.0 0.0 2.2 0.8 0.0 0.0 0.0 3.0 SMHK_GPS
94.108 28.257 19.0 16.9 0.0 0.0 3.2 3.5 0.01 0.0 0.0 3.0 13KM_GPS
94.047 28.325 21.8 16.3 0.0 0.0 2.7 3.3 0.004 0.0 0.0 3.0 35KM_GPS
96.469 28.059 12.8 20.5 0.0 0.0 3.0 3.6 -0.035 0.0 0.0 3.0 AMLG_GPS
95.829 28.491 14.6 18.1 0.0 0.0 2.1 2.8 -0.021 0.0 0.0 3.0 ARZO_GPS
90.38 26.437 14.5 37.2 0.0 0.0 2.4 3.1 -0.053 0.0 0.0 3.0 BNGP_GPS
90.298 26.596 13.3 39.1 0.0 0.0 3.3 3.7 -0.006 0.0 0.0 3.0 BSBR_GPS
96.292 27.899 17.2 15.0 0.0 0.0 2.6 3.2 -0.025 0.0 0.0 3.0 DEMW_GPS
95.819 28.178 18.4 20.1 0.0 0.0 2.1 2.8 -0.01 0.0 0.0 3.0 KBLI_GPS
95.909 28.233 14.6 16.5 0.0 0.0 2.9 3.4 0.001 0.0 0.0 3.0 MYDA_GPS
95.745 28.316 20.1 21.5 0.0 0.0 2.1 2.8 -0.14 0.0 0.0 3.0 PTCM_GPS
95.845 28.147 15.1 20.8 0.0 0.0 2.3 3.1 0.01 0.0 0.0 3.0 RON1_GPS
96.332 27.913 13.1 19.9 0.0 0.0 2.1 2.8 -0.036 0.0 0.0 3.0 THGM_GPS
91.15 27.72 12.5 28.2 0.0 0.0 3.4 2.8 0.0 0.0 0.0 3.0 LHUE_GPS
91.54 27.0 11.8 25.8 0.0 0.0 3.2 4.0 0.0 0.0 0.0 3.0 NARP_GPS
90.65 27.08 11.2 32.8 0.0 0.0 3.6 3.9 0.0 0.0 0.0 3.0 TAMA_GPS
91.53 27.11 12.1 25.3 0.0 0.0 2.8 4.2 0.0 0.0 0.0 3.0 WAMR_GPS
94.159 26.739 13.2 24.5 0.0 0.0 2.8 2.7 -0.061 0.0 0.0 3.0 JRHT_GPS
73.483 22.071 8.0 33.5 0.0 0.0 2.9 2.0 -0.081 0.0 0.0 3.0 SIDP_GPS
86.327 37.336 4.9 14.1 0.0 0.0 1.7 1.9 0.029 0.0 0.0 3.0 AT02_GPS
86.264 36.994 4.5 14.8 0.0 0.0 1.8 1.9 0.023 0.0 0.0 3.0 AT04_GPS
86.167 37.62 1.1 13.3 0.0 0.0 2.0 2.1 -0.039 0.0 0.0 3.0 AT14_GPS
77.238 43.301 -0.7 3.2 0.0 0.0 1.9 2.7 0.0 0.0 0.0 3.0 TAL0_GPS
71.675 38.518 -6.2 17.2 0.0 0.0 1.6 1.8 0.005 0.0 0.0 3.0 SEDA_GPS
96.323 21.473 -0.9 0.9 0.0 0.0 1.9 1.8 -0.01 0.0 0.0 3.0 KINV_GPS
95.981 21.934 -1.7 11.3 0.0 0.0 1.9 1.8 0.0 0.0 0.0 3.0 TNYO_GPS
74.689 36.312 -2.5 28.3 0.0 0.0 1.7 2.0 0.085 0.0 0.0 3.0 DDAS_GPS
135.06 46.0 -0.8 -0.4 0.0 0.0 1.0 2.0 0.0 0.0 0.0 3.0 EAST_GPS
138.254 49.217 2.0 2.1 0.0 0.0 1.4 2.0 0.0 0.0 0.0 3.0 GOBL_GPS
132.166 43.698 1.3 1.6 0.0 0.0 1.2 2.2 0.0 0.0 0.0 3.0 GRNT_GPS
136.995 49.484 1.0 0.9 0.0 0.0 0.8 2.2 0.0 0.0 0.0 3.0 LID6_GPS
136.31 44.73 0.3 0.1 0.0 0.0 2.0 1.8 0.0 0.0 0.0 3.0 PLST_GPS
136.601 45.062 0.3 1.8 0.0 0.0 0.8 1.8 0.0 0.0 0.0 3.0 TERN_GPS
95.847 28.091 13.3 24.3 0.0 0.0 1.8 2.7 -0.072 0.0 0.0 3.0 BALK_GPS
95.665 28.159 19.4 23.7 0.0 0.0 1.9 2.7 -0.054 0.0 0.0 3.0 BMJR_GPS
95.766 27.912 17.2 21.8 0.0 0.0 1.3 2.4 -0.127 0.0 0.0 3.0 CPKW_GPS
90.284 26.618 15.2 35.9 0.0 0.0 1.9 2.7 -0.087 0.0 0.0 3.0 DGPR_GPS
95.616 28.27 19.4 20.5 0.0 0.0 1.7 2.6 -0.041 0.0 0.0 3.0 DMBK_GPS
96.543 28.076 14.8 17.3 0.0 0.0 2.0 2.8 -0.04 0.0 0.0 3.0 HLNG_GPS
93.968 27.313 14.3 29.3 0.0 0.0 2.0 2.8 -0.076 0.0 0.0 3.0 KIMN_GPS
95.913 28.28 16.5 20.4 0.0 0.0 1.6 2.5 -0.097 0.0 0.0 3.0 MY65_GPS
94.142 27.235 13.2 27.1 0.0 0.0 1.5 2.4 -0.111 0.0 0.0 3.0 NLKP_GPS
96.417 27.992 13.0 18.3 0.0 0.0 1.9 2.8 -0.122 0.0 0.0 3.0 PAYA_GPS
94.629 26.99 11.4 24.0 0.0 0.0 1.7 2.5 -0.082 0.0 0.0 3.0 SIBS_GPS
90.31 26.781 12.7 37.5 0.0 0.0 1.9 2.7 -0.079 0.0 0.0 3.0 ULTP_GPS
93.841 27.619 16.1 20.0 0.0 0.0 1.7 2.5 -0.141 0.0 0.0 3.0 ZIRO_GPS
91.46 26.86 11.5 33.3 0.0 0.0 1.5 2.3 0.0 0.0 0.0 3.0 DEOT_GPS
90.43 26.91 12.4 33.6 0.0 0.0 1.8 2.5 0.0 0.0 0.0 3.0 GELE_GPS
91.52 27.29 11.4 27.4 0.0 0.0 1.2 1.8 0.0 0.0 0.0 3.0 KANG_GPS
92.945 26.174 14.5 28.7 0.0 0.0 1.9 1.8 0.009 0.0 0.0 3.0 AKSG_GPS
93.066 26.193 12.9 33.7 0.0 0.0 2.0 1.9 0.012 0.0 0.0 3.0 DOKM_GPS
