Lon Lat E.vel N.vel E.adj N.adj E.sig N.sig Corr U.vel U.adj U.sig Stat
87.76900 28.53800 17.040 28.630 0.00 0.00 4.014 2.283 0.000 0.00 0.00 3.00 J346_GPS
88.23800 29.42900 12.440 29.300 0.00 0.00 3.818 1.633 0.000 0.00 0.00 3.00 J347_GPS
92.94100 34.83200 21.220 6.110 0.00 0.00 3.844 1.97 0.000 0.00 0.00 3.00 J372_GPS
95.36900 33.82600 24.380 5.670 0.00 0.00 3.912 2.429 0.000 0.00 0.00 3.00 J386_GPS
99.17000 23.62000 0.340 -4.130 0.00 0.00 4.096 2.239 0.000 0.00 0.00 3.00 H221_GPS
100.16100 26.51400 12.260 -12.450 0.00 0.00 3.592 1.619 0.000 0.00 0.00 3.00 H118_GPS
103.97000 28.15500 6.080 -4.430 0.00 0.00 5.101 3.552 0.000 0.00 0.00 3.00 H401_GPS
121.37700 29.59900 6.120 -2.880 0.00 0.00 4.291 1.534 0.000 0.00 0.00 3.00 F003_GPS
86.02000 28.29000 10.675 25.445 0.00 0.00 3.6 1.9 0.000 0.00 0.00 3.00 WT11_GPS
90.13100 38.03100 4.817 10.601 0.00 0.00 3.8 4.1 0.001 0.00 0.00 3.00 COOL_GPS
77.52200 34.82300 0.613 20.570 0.00 0.00 4.6 1.9 0.000 0.00 0.00 3.00 TKSH_GPS
79.55900 30.53100 3.361 27.951 0.00 0.00 4.18 2.36 -0.060 0.00 0.00 3.00 AULI_GPS
79.62000 29.63800 10.134 31.044 0.00 0.00 4.11 3.04 -0.030 0.00 0.00 3.00 KTML_GPS
86.82700 28.19400 9.588 21.180 0.00 0.00 5.41 2.51 0.120 0.00 0.00 3.00 RONG_GPS
86.92900 27.97300 12.722 27.323 0.00 0.00 3.73 3.55 0.020 0.00 0.00 3.00 SCOL_GPS
87.15500 28.63000 9.680 20.571 0.00 0.00 4.15 2.1 0.110 0.00 0.00 3.00 TING_GPS
88.50300 27.08900 9.724 30.956 0.00 0.00 8.47 4.18 -0.310 0.00 0.00 3.00 DELO_GPS
91.85000 25.53100 14.328 30.494 0.00 0.00 7.6 3.8 -0.080 0.00 0.00 3.00 SHIL_GPS
90.95900 29.27800 19.882 17.891 0.00 0.00 3.6 3.5 0.000 0.00 0.00 3.00 GGAR_GPS
85.74100 29.59100 10.706 20.754 0.00 0.00 3.7 3.4 -0.003 0.00 0.00 3.00 SHOT_GPS
101.03300 12.76400 6.625 -0.975 0.00 0.00 4.56 2.96 -0.009 0.00 0.00 3.00 RYNG_GPS
76.02700 38.34100 1.976 18.853 0.00 0.00 3.83 3.52 0.025 0.00 0.00 3.00 QIAE_GPS
80.06000 43.20000 3.688 8.861 0.00 0.00 5.94 6.71 -0.030 0.00 0.00 3.00 SHO4_GPS
80.34100 34.43800 -0.340 18.280 0.00 0.00 1.285 3.746 0.000 0.00 0.00 3.00 J315_GPS
83.55600 30.76900 7.090 22.490 0.00 0.00 2.326 3.13 0.000 0.00 0.00 3.00 J328_GPS
84.02000 33.16400 9.040 17.750 0.00 0.00 2.483 2.905 0.000 0.00 0.00 3.00 J331_GPS
85.71400 35.47000 4.280 19.730 0.00 0.00 1.05 3.235 0.000 0.00 0.00 3.00 J344_GPS
89.30500 27.93100 13.730 30.210 0.00 0.00 3.086 3.13 0.000 0.00 0.00 3.00 J352_GPS
97.40300 28.99200 12.420 -3.740 0.00 0.00 1.455 3.011 0.000 0.00 0.00 3.00 J422_GPS
101.02300 30.10600 10.040 -9.870 0.00 0.00 2.766 2.956 0.000 0.00 0.00 3.00 H068_GPS
116.14400 40.25900 4.030 -2.960 0.00 0.00 2.858 2.973 0.000 0.00 0.00 3.00 A151_GPS
72.66800 39.49500 0.312 10.907 0.00 0.00 2.98 6.65 0.000 0.00 0.00 3.00 BRDB_GPS
85.13900 31.01900 7.634 19.065 0.00 0.00 3.5 3.4 0.000 0.00 0.00 3.00 TCOQ_GPS
90.08000 38.39000 6.635 8.704 0.00 0.00 3.0 3.2 0.001 0.00 0.00 3.00 TERR_GPS
